Weekday,datum,Year,Month,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,M01AB_s_sod,M01AB_s_eod,M01AE_s_sod,M01AE_s_eod,N02BA_s_sod,N02BA_s_eod,N02BE_s_sod,N02BE_s_eod,N05B_s_sod,N05B_s_eod,N05C_s_sod,N05C_s_eod,R03_s_sod,R03_s_eod,R06_s_sod,R06_s_eod
Tuesday,6/3/2014,2014,6,3,2,2.4,24,7,2,5,3,18.66,15.66,49.822,47.822,56.995,54.595,334.215,310.215,59,52,10,8,44,39,31.8,28.8
Wednesday,6/4/2014,2014,6,1,4.68,3.5,24,6,0,1,2.5,15.66,14.66,47.822,43.142,54.595,51.095,310.215,286.215,52,46,8,8,39,38,28.8,26.3
Thursday,6/5/2014,2014,6,0.34,4.68,4.5,22.5,4,0,0,5,14.66,14.32,43.142,38.462,51.095,46.595,286.215,263.715,46,42,8,8,38,38,26.3,21.3
Friday,6/6/2014,2014,6,5,1.68,3,16.625,15,2,1,5,14.32,9.32,38.462,36.782,46.595,43.595,263.715,247.09,42,27,8,6,38,37,21.3,16.3
Saturday,6/7/2014,2014,6,9,3.68,7.5,33,8,1,6,7,9.32,0.32,36.782,33.102,43.595,36.095,247.09,214.09,27,19,6,5,37,31,16.3,9.3
Sunday,6/8/2014,2014,6,1,2,3,11,8,0,6,2,58.32,57.32,33.102,31.102,36.095,33.095,214.09,203.09,157,149,21,21,74,68,74.3,72.3
Monday,6/9/2014,2014,6,6.33,1.34,5,18,17,4,0,11,57.32,50.99,31.102,29.762,33.095,28.095,203.09,185.09,149,132,21,17,68,68,72.3,61.3
Tuesday,6/10/2014,2014,6,8.68,2.68,4.3,23,16,2,2,6.5,50.99,42.31,29.762,27.082,28.095,23.795,185.09,162.09,132,116,17,15,68,66,61.3,54.8
Wednesday,6/11/2014,2014,6,4.34,0.68,2.3,12.5,16,2,12,9,42.31,37.97,27.082,26.402,23.795,21.495,162.09,149.59,116,100,15,13,66,54,54.8,45.8
Thursday,6/12/2014,2014,6,4.34,3,1,15.8,12,0,2,3,37.97,33.63,26.402,23.402,21.495,20.495,149.59,133.79,100,88,13,13,54,52,45.8,42.8
Friday,6/13/2014,2014,6,1,2.68,5,10,11,0,3,1,33.63,32.63,23.402,20.722,20.495,15.495,133.79,123.79,88,77,13,13,52,49,42.8,41.8
Saturday,6/14/2014,2014,6,4,5.02,6,8,10,0,1,3,32.63,28.63,20.722,15.702,15.495,9.495,123.79,115.79,77,67,13,13,49,48,41.8,38.8
Sunday,6/15/2014,2014,6,0.34,2,0,8,5,0,0,3.3,28.63,28.29,47.702,45.702,51.495,51.495,115.79,107.79,161,156,13,13,48,48,38.8,35.5
Monday,6/16/2014,2014,6,4.34,4.34,7.4,12.2,11,0,5,5,28.29,23.95,45.702,41.362,51.495,44.095,107.79,95.59,156,145,13,13,48,43,35.5,30.5
Tuesday,6/17/2014,2014,6,5,2.34,4,14,12,2,0,3,23.95,18.95,41.362,39.022,44.095,40.095,95.59,81.59,145,133,13,11,43,43,30.5,27.5
Wednesday,6/18/2014,2014,6,2,2,4.7,18,6,0,1,3,18.95,16.95,39.022,37.022,40.095,35.395,81.59,63.59,133,127,11,11,43,42,27.5,24.5
Thursday,6/19/2014,2014,6,3,3.33,1,14,8,0,0,1,16.95,13.95,37.022,33.692,35.395,34.395,63.59,49.59,127,119,11,11,42,42,24.5,23.5
Friday,6/20/2014,2014,6,7.34,2.02,3,14.5,9,0,3,6,13.95,6.61,33.692,31.672,34.395,31.395,49.59,35.09,119,110,11,11,42,39,23.5,17.5
Saturday,6/21/2014,2014,6,6,5.68,2,16,12,3,0,3,6.61,0.61,31.672,25.992,31.395,29.395,35.09,19.09,110,98,11,8,39,39,17.5,14.5
Sunday,6/22/2014,2014,6,4,1.02,4,18,8,0,2,3,50.61,46.61,68.992,67.972,80.395,76.395,233.09,215.09,243,235,8,8,39,37,45.5,42.5
Monday,6/23/2014,2014,6,2.34,7.68,3,25.2,12,0,2,3,46.61,44.27,67.972,60.292,76.395,73.395,215.09,189.89,235,223,8,8,37,35,42.5,39.5
Tuesday,6/24/2014,2014,6,3,5.14,4,16.2,23,0,2,4,44.27,41.27,60.292,55.152,73.395,69.395,189.89,173.69,223,200,8,8,35,33,39.5,35.5
Wednesday,6/25/2014,2014,6,8,5.34,7,33.8,19,0,0,1,41.27,33.27,55.152,49.812,69.395,62.395,173.69,139.89,200,181,8,8,33,33,35.5,34.5
Thursday,6/26/2014,2014,6,3,2,11.3,19.3,14,0,0,1,33.27,30.27,49.812,47.812,62.395,51.095,139.89,120.59,181,167,8,8,33,33,34.5,33.5
Friday,6/27/2014,2014,6,4.34,1,6,32.3,13,0,1,3,30.27,25.93,47.812,46.812,51.095,45.095,120.59,88.29,167,154,8,8,33,32,33.5,30.5
Saturday,6/28/2014,2014,6,0.34,5.34,5,20,14,1,1,5,25.93,25.59,46.812,41.472,45.095,40.095,88.29,68.29,154,140,8,7,32,31,30.5,25.5
Sunday,6/29/2014,2014,6,0,1,1,10,1,0,0,1,55.59,55.59,41.472,40.472,40.095,39.095,278.29,268.29,140,139,7,7,31,31,25.5,24.5
Monday,6/30/2014,2014,6,6,5.34,1,25,6,0,0,0,55.59,49.59,40.472,35.132,39.095,38.095,268.29,243.29,139,133,7,7,31,31,24.5,24.5
Tuesday,7/1/2014,2014,7,4.34,2.34,2,19,10,0,0,2,49.59,45.25,35.132,32.792,38.095,36.095,243.29,224.29,133,123,7,7,31,31,24.5,22.5
Wednesday,7/2/2014,2014,7,3,0.34,4,21.6,7,0,6,3,45.25,42.25,32.792,32.452,36.095,32.095,224.29,202.69,123,116,7,7,31,25,22.5,19.5
Thursday,7/3/2014,2014,7,2.33,5.68,7,12.5,7,2,0,2,42.25,39.92,32.452,26.772,32.095,25.095,202.69,190.19,116,109,7,5,25,25,19.5,17.5
Friday,7/4/2014,2014,7,4.34,4.7,7,10.5,14,0,2,3,39.92,35.58,26.772,22.072,25.095,18.095,190.19,179.69,109,95,5,5,25,23,17.5,14.5
Saturday,7/5/2014,2014,7,3.34,4.34,6,37,11,1,0,0,35.58,32.24,22.072,17.732,18.095,12.095,179.69,142.69,95,84,5,4,23,23,14.5,14.5
Sunday,7/6/2014,2014,7,4,2,3,10.2,9,0,0,0,32.24,28.24,58.732,56.732,66.095,63.095,142.69,132.49,213,204,11,11,23,23,35.5,35.5
Monday,7/7/2014,2014,7,2,3.34,4,13,11,0,0,4,28.24,26.24,56.732,53.392,63.095,59.095,132.49,119.49,204,193,11,11,23,23,35.5,31.5
Tuesday,7/8/2014,2014,7,6.34,2.34,3,14,3,0,5,1,26.24,19.9,53.392,51.052,59.095,56.095,119.49,105.49,193,190,11,11,23,18,31.5,30.5
Wednesday,7/9/2014,2014,7,3,6.34,5,13,6,4,0,2.2,19.9,16.9,51.052,44.712,56.095,51.095,105.49,92.49,190,184,11,7,18,18,30.5,28.3
Thursday,7/10/2014,2014,7,2.33,4.66,8,21.2,32,0,5,4,16.9,14.57,44.712,40.052,51.095,43.095,92.49,71.29,184,152,7,7,18,13,28.3,24.3
Friday,7/11/2014,2014,7,2,1.68,3.2,16.5,17,0,5,1,14.57,12.57,40.052,38.372,43.095,39.895,71.29,54.79,152,135,7,7,13,8,24.3,23.3
Saturday,7/12/2014,2014,7,8.34,2.68,10.5,28.1,12,3,4,4,12.57,4.23,38.372,35.692,39.895,29.395,54.79,26.69,135,123,7,4,8,4,23.3,19.3
Sunday,7/13/2014,2014,7,2,1.34,1,17,2,0,0,0,44.23,42.23,35.692,34.352,29.395,28.395,216.69,199.69,123,121,13,13,26,26,19.3,19.3
Monday,7/14/2014,2014,7,5,3.04,3,11.8,19,1,2,2,42.23,37.23,34.352,31.312,28.395,25.395,199.69,187.89,121,102,13,12,26,24,19.3,17.3
Tuesday,7/15/2014,2014,7,3.34,1.68,1,15.6,18,0,0,1.3,37.23,33.89,31.312,29.632,25.395,24.395,187.89,172.29,102,84,12,12,24,24,17.3,16
Wednesday,7/16/2014,2014,7,4,3.34,3,13,12,1,4,0,33.89,29.89,29.632,26.292,24.395,21.395,172.29,159.29,84,72,12,11,24,20,16,16
Thursday,7/17/2014,2014,7,2,3,5,25,14,1,0,1,29.89,27.89,26.292,23.292,21.395,16.395,159.29,134.29,72,58,11,10,20,20,16,15
Friday,7/18/2014,2014,7,9,2.34,1.5,14.2,6,3,0,4,27.89,18.89,23.292,20.952,16.395,14.895,134.29,120.09,58,52,10,7,20,20,15,11
Saturday,7/19/2014,2014,7,7.33,7.02,6,8.4,10,0,6,6,18.89,11.56,20.952,13.932,14.895,8.895,120.09,111.69,52,42,7,7,20,14,11,5
Sunday,7/20/2014,2014,7,3,0.34,1,8,5,0,0,0.1,64.56,61.56,55.932,55.592,46.895,45.895,246.69,238.69,139,134,7,7,14,14,33,32.9
Monday,7/21/2014,2014,7,3,4.68,8,20,13,1,0,2,61.56,58.56,55.592,50.912,45.895,37.895,238.69,218.69,134,121,7,6,14,14,32.9,30.9
Tuesday,7/22/2014,2014,7,5,5.68,3,9,7,0,1,2,58.56,53.56,50.912,45.232,37.895,34.895,218.69,209.69,121,114,6,6,14,13,30.9,28.9
Wednesday,7/23/2014,2014,7,2.67,6.37,2,8,19,0,0,3,53.56,50.89,45.232,38.862,34.895,32.895,209.69,201.69,114,95,6,6,13,13,28.9,25.9
Thursday,7/24/2014,2014,7,5.34,2,4.4,23,5,0,0,2,50.89,45.55,38.862,36.862,32.895,28.495,201.69,178.69,95,90,6,6,13,13,25.9,23.9
Friday,7/25/2014,2014,7,5,2.02,7.5,10,15,1,1,2,45.55,40.55,36.862,34.842,28.495,20.995,178.69,168.69,90,75,6,5,13,12,23.9,21.9
Saturday,7/26/2014,2014,7,4,6.68,6.2,36.2,13,0,0,4,40.55,36.55,34.842,28.162,20.995,14.795,168.69,132.49,75,62,5,5,12,12,21.9,17.9
Sunday,7/27/2014,2014,7,3,1.34,2,10,5,0,6,1,36.55,33.55,28.162,26.822,55.795,53.795,132.49,122.49,180,175,11,11,31,25,46.9,45.9
Monday,7/28/2014,2014,7,2,1.34,2,9.1,9,0,0,2,33.55,31.55,26.822,25.482,53.795,51.795,122.49,113.39,175,166,11,11,25,25,45.9,43.9
Tuesday,7/29/2014,2014,7,2.34,0.68,1,13,15,3,0,5,31.55,29.21,25.482,24.802,51.795,50.795,113.39,100.39,166,151,11,8,25,25,43.9,38.9
Wednesday,7/30/2014,2014,7,0.68,1.34,5,13.5,14,0,6,4.5,29.21,28.53,24.802,23.462,50.795,45.795,100.39,86.89,151,137,8,8,25,19,38.9,34.4
Thursday,7/31/2014,2014,7,3,0.34,4,10.5,8,0,0,1,28.53,25.53,23.462,23.122,45.795,41.795,86.89,76.39,137,129,8,8,19,19,34.4,33.4
Friday,8/1/2014,2014,8,2,1,2.2,14,17,1,0,1,25.53,23.53,23.122,22.122,41.795,39.595,76.39,62.39,129,112,8,7,19,19,33.4,32.4
Saturday,8/2/2014,2014,8,5,2.01,6,29,12,0,5,3,23.53,18.53,22.122,20.112,39.595,33.595,62.39,33.39,112,100,7,7,19,14,32.4,29.4
Sunday,8/3/2014,2014,8,5,1,3,6,5,5,0,0,59.53,54.53,47.112,46.112,33.595,30.595,239.39,233.39,100,95,19,14,14,14,29.4,29.4
Monday,8/4/2014,2014,8,4,5.02,6,21.5,14,0,0,4,54.53,50.53,46.112,41.092,30.595,24.595,233.39,211.89,95,81,14,14,14,14,29.4,25.4
Tuesday,8/5/2014,2014,8,2,1.34,3,17.1,9,0,0,0,50.53,48.53,41.092,39.752,24.595,21.595,211.89,194.79,81,72,14,14,14,14,25.4,25.4
Wednesday,8/6/2014,2014,8,6,5,1.4,17,7,1,1,1,48.53,42.53,39.752,34.752,21.595,20.195,194.79,177.79,72,65,14,13,14,13,25.4,24.4
Thursday,8/7/2014,2014,8,3.34,2.68,3,33,13,1,0,2,42.53,39.19,34.752,32.072,20.195,17.195,177.79,144.79,65,52,13,12,13,13,24.4,22.4
Friday,8/8/2014,2014,8,5.02,4.02,5,13,12,3,2,2,39.19,34.17,32.072,28.052,17.195,12.195,144.79,131.79,52,40,12,9,13,11,22.4,20.4
Saturday,8/9/2014,2014,8,4,1.34,6,19,24,3,0,5.9,34.17,30.17,28.052,26.712,12.195,6.195,131.79,112.79,40,16,9,6,11,11,20.4,14.5
Sunday,8/10/2014,2014,8,4,0.34,4,3,4,0,0,2,69.17,65.17,26.712,26.372,59.195,55.195,261.79,258.79,151,147,6,6,11,11,58.5,56.5
Monday,8/11/2014,2014,8,8,5.36,9.2,20,18,0,0,2,65.17,57.17,26.372,21.012,55.195,45.995,258.79,238.79,147,129,6,6,11,11,56.5,54.5
Tuesday,8/12/2014,2014,8,0,1.36,4.5,10,8,1,0,4.6,57.17,57.17,21.012,19.652,45.995,41.495,238.79,228.79,129,121,6,5,11,11,54.5,49.9
Wednesday,8/13/2014,2014,8,1.34,3.34,1,20.3,11,0,0,7,57.17,55.83,19.652,16.312,41.495,40.495,228.79,208.49,121,110,5,5,11,11,49.9,42.9
Thursday,8/14/2014,2014,8,4,2.34,6,14.4,13,0,0,6,55.83,51.83,16.312,13.972,40.495,34.495,208.49,194.09,110,97,5,5,11,11,42.9,36.9
Friday,8/15/2014,2014,8,4.34,4.02,7,13.2,15,2,3,2,51.83,47.49,13.972,9.952,34.495,27.495,194.09,180.89,97,82,5,3,11,8,36.9,34.9
Saturday,8/16/2014,2014,8,8,2.43,5,19,27,2,0,1,47.49,39.49,9.952,7.522,27.495,22.495,180.89,161.89,82,55,3,1,8,8,34.9,33.9
Sunday,8/17/2014,2014,8,0.34,0.68,2,6.5,7,0,0,1,94.49,94.15,45.522,44.842,60.495,58.495,161.89,155.39,218,211,17,17,32,32,33.9,32.9
Monday,8/18/2014,2014,8,4.34,6,3.1,16.5,21,3,10,2,94.15,89.81,44.842,38.842,58.495,55.395,155.39,138.89,211,190,17,14,32,22,32.9,30.9
Tuesday,8/19/2014,2014,8,11.34,6.35,5,16.1,13,1,3,1.1,89.81,78.47,38.842,32.492,55.395,50.395,138.89,122.79,190,177,14,13,22,19,30.9,29.8
Wednesday,8/20/2014,2014,8,5.34,5.34,1.4,9,10,2,0,1,78.47,73.13,32.492,27.152,50.395,48.995,122.79,113.79,177,167,13,11,19,19,29.8,28.8
Thursday,8/21/2014,2014,8,3,1,2,18,16,1,0,2.2,73.13,70.13,27.152,26.152,48.995,46.995,113.79,95.79,167,151,11,10,19,19,28.8,26.6
Friday,8/22/2014,2014,8,6.34,1.34,5,19,15,0,0,1,70.13,63.79,26.152,24.812,46.995,41.995,95.79,76.79,151,136,10,10,19,19,26.6,25.6
Saturday,8/23/2014,2014,8,3,3.02,1,25.6,5,0,0,4,63.79,60.79,24.812,21.792,41.995,40.995,76.79,51.19,136,131,10,10,19,19,25.6,21.6
Sunday,8/24/2014,2014,8,3,2.175,3,7,12,0,1,0,60.79,57.79,63.792,61.617,40.995,37.995,287.19,280.19,131,119,10,10,19,18,21.6,21.6
Monday,8/25/2014,2014,8,4.01,3.175,3,21.2,21,0,0,0,57.79,53.78,61.617,58.442,37.995,34.995,280.19,258.99,119,98,10,10,18,18,21.6,21.6
Tuesday,8/26/2014,2014,8,2.34,5.34,3,31,14,1,1,3,53.78,51.44,58.442,53.102,34.995,31.995,258.99,227.99,98,84,10,9,18,17,21.6,18.6
Wednesday,8/27/2014,2014,8,3.34,8.02,4,21,14,0,0,3,51.44,48.1,53.102,45.082,31.995,27.995,227.99,206.99,84,70,9,9,17,17,18.6,15.6
Thursday,8/28/2014,2014,8,2.34,5.36,6,32.67,19,0,4,0,48.1,45.76,45.082,39.722,27.995,21.995,206.99,174.32,70,51,9,9,17,13,15.6,15.6
Friday,8/29/2014,2014,8,6.34,3.68,5,26.28,18,1,0,3,45.76,39.42,39.722,36.042,21.995,16.995,174.32,148.04,51,33,9,8,13,13,15.6,12.6
Saturday,8/30/2014,2014,8,3.68,3.02,7,13,13,1,0,4,39.42,35.74,36.042,33.022,16.995,9.995,148.04,135.04,33,20,8,7,13,13,12.6,8.6
Sunday,8/31/2014,2014,8,0,2.68,1,15,13,0,7,2,35.74,35.74,74.022,71.342,48.995,47.995,329.04,314.04,168,155,7,7,29,22,40.6,38.6
Monday,9/1/2014,2014,9,3.34,1.715,1,15.5,15,0,0,5.5,35.74,32.4,71.342,69.627,47.995,46.995,314.04,298.54,155,140,7,7,22,22,38.6,33.1
Tuesday,9/2/2014,2014,9,2.34,4.68,5.2,20.14,7,0,2,3,32.4,30.06,69.627,64.947,46.995,41.795,298.54,278.4,140,133,7,7,22,20,33.1,30.1
Wednesday,9/3/2014,2014,9,7,6.34,4,22.18,12,0,2,3,30.06,23.06,64.947,58.607,41.795,37.795,278.4,256.22,133,121,7,7,20,18,30.1,27.1
Thursday,9/4/2014,2014,9,5.68,5.34,3,17.6,21,1,0,1,23.06,17.38,58.607,53.267,37.795,34.795,256.22,238.62,121,100,7,6,18,18,27.1,26.1
Friday,9/5/2014,2014,9,4,0.779,3,15.6,15,2,0,2,17.38,13.38,53.267,52.488,34.795,31.795,238.62,223.02,100,85,6,4,18,18,26.1,24.1
Saturday,9/6/2014,2014,9,5.34,5,2.4,15.7,30,2,5,3.1,13.38,8.04,52.488,47.488,31.795,29.395,223.02,207.32,85,55,4,2,18,13,24.1,21
Sunday,9/7/2014,2014,9,2,5.515,5,7,9,0,0,1,42.04,40.04,47.488,41.973,67.395,62.395,207.32,200.32,224,215,8,8,40,40,21,20
Monday,9/8/2014,2014,9,1,5.36,3.5,20.8,15,0,1,4,40.04,39.04,41.973,36.613,62.395,58.895,200.32,179.52,215,200,8,8,40,39,20,16
Tuesday,9/9/2014,2014,9,6.34,2.34,4,29.2,17,0,2,1.2,39.04,32.7,36.613,34.273,58.895,54.895,179.52,150.32,200,183,8,8,39,37,16,14.8
Wednesday,9/10/2014,2014,9,4.34,3.34,3.5,37.8,12,0,0,1,32.7,28.36,34.273,30.933,54.895,51.395,150.32,112.52,183,171,8,8,37,37,14.8,13.8
Thursday,9/11/2014,2014,9,0,1.34,4,32.2,15,0,10,0,28.36,28.36,30.933,29.593,51.395,47.395,112.52,80.32,171,156,8,8,37,27,13.8,13.8
Friday,9/12/2014,2014,9,2.68,2.67,1,20,19,0,8,1,28.36,25.68,29.593,26.923,47.395,46.395,80.32,60.32,156,137,8,8,27,19,13.8,12.8
Saturday,9/13/2014,2014,9,3,5.36,4.4,56.85,20,0,1,3,25.68,22.68,26.923,21.563,46.395,41.995,60.32,3.47,137,117,8,8,19,18,12.8,9.8
Sunday,9/14/2014,2014,9,1.34,2,2,19.5,6,0,6,0,22.68,21.34,56.563,54.563,41.995,39.995,404.47,384.97,117,111,8,8,70,64,9.8,9.8
Monday,9/15/2014,2014,9,1.34,3,5.4,28.2,9,0,1,0,21.34,20,54.563,51.563,39.995,34.595,384.97,356.77,111,102,8,8,64,63,9.8,9.8
Tuesday,9/16/2014,2014,9,4,2.68,0,59.3,13,0,0,0,20,16,51.563,48.883,34.595,34.595,356.77,297.47,102,89,8,8,63,63,9.8,9.8
Wednesday,9/17/2014,2014,9,2.34,6,4,39.6,11,2,19,4,16,13.66,48.883,42.883,34.595,30.595,297.47,257.87,89,78,8,6,63,44,9.8,5.8
Thursday,9/18/2014,2014,9,3,2.02,1,44,7,0,0,1,13.66,10.66,42.883,40.863,30.595,29.595,257.87,213.87,78,71,6,6,44,44,5.8,4.8
Friday,9/19/2014,2014,9,2,4.34,7.8,23,8,0,22,0,10.66,8.66,40.863,36.523,29.595,21.795,213.87,190.87,71,63,6,6,44,22,4.8,4.8
Saturday,9/20/2014,2014,9,4.34,1.855,4.5,20.6,14,1,2,0,8.66,4.32,36.523,34.668,21.795,17.295,190.87,170.27,63,49,6,5,22,20,4.8,4.8
Sunday,9/21/2014,2014,9,1,3.02,6,12.4,7,0,0,3,40.32,39.32,34.668,31.648,75.295,69.295,455.27,442.87,166,159,5,5,20,20,22.8,19.8
Monday,9/22/2014,2014,9,3.34,4,5.5,34.2,10,1,0,2,39.32,35.98,31.648,27.648,69.295,63.795,442.87,408.67,159,149,5,4,20,20,19.8,17.8
Tuesday,9/23/2014,2014,9,3,3.34,5.5,26,10,0,1,2,35.98,32.98,27.648,24.308,63.795,58.295,408.67,382.67,149,139,4,4,20,19,17.8,15.8
Wednesday,9/24/2014,2014,9,6,3.34,1.4,24.7,14,0,0,0,32.98,26.98,24.308,20.968,58.295,56.895,382.67,357.97,139,125,4,4,19,19,15.8,15.8
Thursday,9/25/2014,2014,9,4.68,6.34,8.2,49.15,15,1,1,5,26.98,22.3,20.968,14.628,56.895,48.695,357.97,308.82,125,110,4,3,19,18,15.8,10.8
Friday,9/26/2014,2014,9,4,3.68,3.5,38,22,2,0,1,22.3,18.3,14.628,10.948,48.695,45.195,308.82,270.82,110,88,3,1,18,18,10.8,9.8
Saturday,9/27/2014,2014,9,4,2,6,46.3,18,0,0,4,18.3,14.3,10.948,8.948,45.195,39.195,270.82,224.52,88,70,1,1,18,18,9.8,5.8
Sunday,9/28/2014,2014,9,0.34,2.68,1,21.2,6,0,0,2,58.3,57.96,41.948,39.268,39.195,38.195,620.52,599.32,211,205,7,7,85,85,29.8,27.8
Monday,9/29/2014,2014,9,7,3.68,2.3,29.8,12,0,10,4,57.96,50.96,39.268,35.588,38.195,35.895,599.32,569.52,205,193,7,7,85,75,27.8,23.8
Tuesday,9/30/2014,2014,9,10,5.34,4,61.3,10,2,22,2,50.96,40.96,35.588,30.248,35.895,31.895,569.52,508.22,193,183,7,5,75,53,23.8,21.8
Wednesday,10/1/2014,2014,10,2.34,0,2.4,44,15,0,11,2,40.96,38.62,30.248,30.248,31.895,29.495,508.22,464.22,183,168,5,5,53,42,21.8,19.8
Thursday,10/2/2014,2014,10,2,4.99,5,23.9,11,0,2,1,38.62,36.62,30.248,25.258,29.495,24.495,464.22,440.32,168,157,5,5,42,40,19.8,18.8
Friday,10/3/2014,2014,10,4.33,1.34,5.9,44.14,12,0,11,2,36.62,32.29,25.258,23.918,24.495,18.595,440.32,396.18,157,145,5,5,40,29,18.8,16.8
Saturday,10/4/2014,2014,10,4.68,7.766,8,49.9,12,1,25,0,32.29,27.61,23.918,16.152,18.595,10.595,396.18,346.28,145,133,5,4,29,4,16.8,16.8
Sunday,10/5/2014,2014,10,2,3.34,3,19,1,0,0,3,27.61,25.61,59.152,55.812,61.595,58.595,830.28,811.28,133,132,11,11,73,73,16.8,13.8
Monday,10/6/2014,2014,10,5.34,1.365,2.4,69.875,13,1,0,1,25.61,20.27,55.812,54.447,58.595,56.195,811.28,741.405,132,119,11,10,73,73,13.8,12.8
Tuesday,10/7/2014,2014,10,3,4.34,2.2,41.7,17,1,5,0,20.27,17.27,54.447,50.107,56.195,53.995,741.405,699.705,119,102,10,9,73,68,12.8,12.8
Wednesday,10/8/2014,2014,10,3.68,6,7,50,17,0,0,2,17.27,13.59,50.107,44.107,53.995,46.995,699.705,649.705,102,85,9,9,68,68,12.8,10.8
Thursday,10/9/2014,2014,10,1,4.69,6,48.2,10,2,5,0,13.59,12.59,44.107,39.417,46.995,40.995,649.705,601.505,85,75,9,7,68,63,10.8,10.8
Friday,10/10/2014,2014,10,4.34,2.68,9,28.8,24,3,6,0.5,12.59,8.25,39.417,36.737,40.995,31.995,601.505,572.705,75,51,7,4,63,57,10.8,10.3
Saturday,10/11/2014,2014,10,3.34,3.68,5,35.9,15,0,0,5,8.25,4.91,36.737,33.057,31.995,26.995,572.705,536.805,51,36,4,4,57,57,10.3,5.3
Sunday,10/12/2014,2014,10,3,0.33,1.5,22.5,7,0,5,2,39.91,36.91,33.057,32.727,75.995,74.495,536.805,514.305,166,159,4,4,57,52,28.3,26.3
Monday,10/13/2014,2014,10,1.68,4,6.2,31.9,11,0,1,2,36.91,35.23,32.727,28.727,74.495,68.295,514.305,482.405,159,148,4,4,52,51,26.3,24.3
Tuesday,10/14/2014,2014,10,3,5.41,4.8,31.8,7,0,11,0,35.23,32.23,28.727,23.317,68.295,63.495,482.405,450.605,148,141,4,4,51,40,24.3,24.3
Wednesday,10/15/2014,2014,10,1.33,6.35,3.5,23.7,14,1,2,4,32.23,30.9,23.317,16.967,63.495,59.995,450.605,426.905,141,127,4,3,40,38,24.3,20.3
Thursday,10/16/2014,2014,10,6.775,3.5103125,2.9375,58.921875,9.0625,0.625,5,2.1875,30.9,24.125,16.967,13.4566875,59.995,57.0575,426.905,367.983125,127,117.9375,3,2.375,38,33,20.3,18.1125
Friday,10/17/2014,2014,10,3,2.34,3.4,42,22,0,0,2,24.125,21.125,13.4566875,11.1166875,57.0575,53.6575,367.983125,325.983125,117.9375,95.9375,2.375,2.375,33,33,18.1125,16.1125
Saturday,10/18/2014,2014,10,4,6,5.5,21.4,24,0,3,2,21.125,17.125,11.1166875,5.1166875,53.6575,48.1575,325.983125,304.583125,95.9375,71.9375,2.375,2.375,33,30,16.1125,14.1125
Sunday,10/19/2014,2014,10,3.33,3,2,13.9,9,0,6,1,48.125,44.795,46.1166875,43.1166875,48.1575,46.1575,304.583125,290.683125,228.9375,219.9375,6.375,6.375,76,70,14.1125,13.1125
Monday,10/20/2014,2014,10,3.34,5.66,7.3,35.4,25,2,0,1,44.795,41.455,43.1166875,37.4566875,46.1575,38.8575,290.683125,255.283125,219.9375,194.9375,6.375,4.375,70,70,13.1125,12.1125
Tuesday,10/21/2014,2014,10,2.34,4.34,6.4,14.3,11,0,20,1,41.455,39.115,37.4566875,33.1166875,38.8575,32.4575,255.283125,240.983125,194.9375,183.9375,4.375,4.375,70,50,12.1125,11.1125
Wednesday,10/22/2014,2014,10,3.33,2,2.6,20.9,7,0,2,1,39.115,35.785,33.1166875,31.1166875,32.4575,29.8575,240.983125,220.083125,183.9375,176.9375,4.375,4.375,50,48,11.1125,10.1125
Thursday,10/23/2014,2014,10,1.34,4.33,0,32.2,7,1,0,0,35.785,34.445,31.1166875,26.7866875,29.8575,29.8575,220.083125,187.883125,176.9375,169.9375,4.375,3.375,48,48,10.1125,10.1125
Friday,10/24/2014,2014,10,3.67,2.67,6.3,49.4,18,0,5,1,34.445,30.775,26.7866875,24.1166875,29.8575,23.5575,187.883125,138.483125,169.9375,151.9375,3.375,3.375,48,43,10.1125,9.1125
Saturday,10/25/2014,2014,10,2.33,5.14,1,31,21,0,2,5,30.775,28.445,24.1166875,18.9766875,23.5575,22.5575,138.483125,107.483125,151.9375,130.9375,3.375,3.375,43,41,9.1125,4.1125
Sunday,10/26/2014,2014,10,3.34,1,1.6,30.4,6,0,1,1,68.445,65.105,46.9766875,45.9766875,73.5575,71.9575,463.483125,433.083125,304.9375,298.9375,9.375,9.375,101,100,19.1125,18.1125
Monday,10/27/2014,2014,10,8.34,4.55,4,25.3,17,1,3,0,65.105,56.765,45.9766875,41.4266875,71.9575,67.9575,433.083125,407.783125,298.9375,281.9375,9.375,8.375,100,97,18.1125,18.1125
Tuesday,10/28/2014,2014,10,4,3.48,10,40.4,23,0,0,2,56.765,52.765,41.4266875,37.9466875,67.9575,57.9575,407.783125,367.383125,281.9375,258.9375,8.375,8.375,97,97,18.1125,16.1125
Wednesday,10/29/2014,2014,10,5,1,6.6,41,20,2,27,1,52.765,47.765,37.9466875,36.9466875,57.9575,51.3575,367.383125,326.383125,258.9375,238.9375,8.375,6.375,97,70,16.1125,15.1125
Thursday,10/30/2014,2014,10,0,1,5,20.3,11,1,2,0,47.765,47.765,36.9466875,35.9466875,51.3575,46.3575,326.383125,306.083125,238.9375,227.9375,6.375,5.375,70,68,15.1125,15.1125
